"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/AUROC","test/MulticlassAccuracy"
"module.network.model_name: BEATs_NatureLM","beans_watkins","","BEATs_NatureLM","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs_NatureLM"",""rs110725""]","","attentive","0.995995819568634","0.8967551589012146"
"module.network.model_name: BEATs","beans_bats","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs"",""rs110725""]","","attentive","0.961763560771942","0.7110000252723694"
"module.network.model_name: BEATs","beans_dogs","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs"",""rs110725""]","","attentive","0.9917746782302856","0.8561151027679443"
"module.network.model_name: BEATs","beans_cbi","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs"",""rs110725""]","","attentive","0.97411847114563","0.5682320594787598"
"module.network.model_name: BEATs","beans_watkins","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs"",""rs110725""]","","attentive","0.9938984513282776","0.8495575189590454"
"module.network.model_name: vit_inatsound","beans_bats","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""vit_inatsound"",""rs110725""]","","just_cls","0.8763622641563416","0.45750001072883606"
"module.network.model_name: vit_inatsound","beans_dogs","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""vit_inatsound"",""rs110725""]","","just_cls","0.8947806358337402","0.5395683646202087"
"module.network.model_name: vit_inatsound","beans_cbi","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""vit_inatsound"",""rs110725""]","","just_cls","0.8274595141410828","0.14392265677452087"
"module.network.model_name: vit_inatsound","beans_watkins","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""vit_inatsound"",""rs110725""]","","just_cls","0.9705378413200378","0.6843658089637756"
"module.network.model_name: BEATs","beans_bats","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""BEATs"",""rs110725""]","","","0.913640797138214","0.5799999833106995"
"module.network.model_name: BEATs","beans_dogs","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""BEATs"",""rs110725""]","","","0.938262403011322","0.7122302055358887"
"module.network.model_name: BEATs","beans_cbi","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""BEATs"",""rs110725""]","","","0.8881673216819763","0.18591159582138064"
"module.network.model_name: BEATs","beans_watkins","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""BEATs"",""rs110725""]","","","0.987370491027832","0.8318583965301514"
"module.network.model_name: vit_inatsound","beans_bats","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""vit_inatsound"",""rs110725""]","","attentive","0.9358131289482116","0.6284999847412109"
"module.network.model_name: vit_inatsound","beans_dogs","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""vit_inatsound"",""rs110725""]","","attentive","0.8563557863235474","0.4964028894901275"
"module.network.model_name: vit_inatsound","beans_cbi","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""vit_inatsound"",""rs110725""]","","attentive","0.8848075866699219","0.2734806537628174"
