"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/MultilabelAUROC","test/cmAP5"
"module.network.model_name: birdmae","SSW","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9230898022651672","0.35486385226249695"
"module.network.model_name: birdmae","UHH","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8112942576408386","0.2630069851875305"
"module.network.model_name: birdmae","UHH","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.7575907111167908","0.1633789837360382"
"module.network.model_name: birdmae","UHH","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8194447159767151","0.2647465765476227"
"module.network.model_name: birdmae","SNE","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.835528552532196","0.31513163447380066"
"module.network.model_name: birdmae","NES","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.8660513162612915","0.20575982332229617"
"module.network.model_name: birdmae","NES","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8876001834869385","0.3573324680328369"
"module.network.model_name: birdmae","NES","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8835204839706421","0.3565051257610321"
"module.network.model_name: birdmae","POW","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8389739990234375","0.39145803451538086"
"module.network.model_name: birdmae","POW","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8380870223045349","0.3724325597286224"
"module.network.model_name: birdmae","POW","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.7794533967971802","0.26571789383888245"
"module.network.model_name: birdmae","SNE","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8411251306533813","0.31606507301330566"
"module.network.model_name: birdmae","POW","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.7772749662399292","0.27536430954933167"
"module.network.model_name: birdmae","PER","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.6861410737037659","0.1082933098077774"
"module.network.model_name: birdmae","PER","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.7752695083618164","0.2533266544342041"
"module.network.model_name: birdmae","PER","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.7887667417526245","0.2668461799621582"
"module.network.model_name: birdmae","PER","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.6857430338859558","0.10830271244049072"
"module.network.model_name: surfperch","SNE","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch"",""rs240725""]","","","0.7589641809463501","0.17450620234012604"
"module.network.model_name: surfperch","SSW","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch"",""rs240725""]","","","0.8379951119422913","0.142825648188591"
"module.network.model_name: surfperch","NBP","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch"",""rs240725""]","","","0.7927706837654114","0.35885971784591675"
"module.network.model_name: surfperch","HSN","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch"",""rs240725""]","","","0.8224266767501831","0.3225080668926239"
"module.network.model_name: surfperch","UHH","false","surfperch","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""surfperch"",""rs240725""]","","","0.7461042404174805","0.16052797436714172"
"module.network.model_name: biolingual","SNE","","biolingual","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""biolingual"",""rs240725""]","","just_cls","0.7016109824180603","0.12918241322040558"
